source,target,stock,year
AT,AE,193,2017
AT,GB,12127,2017
AT,TZ,172,2017
AT,US,12172,2017
AT,UY,310,2017
AT,UZ,830,2017
AT,VU,7,2017
AT,VE,1007,2017
AT,VN,3682,2017
AT,YE,104,2017
AT,ZM,124,2017
AT,ZW,328,2017
AU,AF,39297,2017
AU,AL,3495,2017
AU,DZ,1636,2017
AU,AS,398,2017
AU,AO,608,2017
AU,AG,11,2017
AU,AR,16170,2017
AU,AM,1437,2017
AU,AW,44,2017
AU,AT,21423,2017
AU,AZ,564,2017
AU,BS,331,2017
AU,BH,1736,2017
AU,BD,38888,2017
AU,BB,464,2017
AU,BY,2156,2017
AU,BE,8229,2017
AU,BZ,44,2017
AU,BJ,110,2017
AU,BM,652,2017
AU,BT,4014,2017
AU,BO,1106,2017
AU,BA,43456,2017
AU,BW,1360,2017
AU,BR,21734,2017
AU,BN,3549,2017
AU,BG,4181,2017
AU,BF,22,2017
AU,BI,2256,2017
AU,KH,37439,2017
AU,CM,430,2017
AU,CA,56651,2017
AU,KY,99,2017
AU,TD,33,2017
AU,CL,32462,2017
AU,CN,472931,2017
AU,HK,100185,2017
AU,MO,3085,2017
AU,CO,16247,2017
AU,CG,1470,2017
AU,CK,8372,2017
AU,CR,552,2017
AU,CI,630,2017
AU,HR,73275,2017
AU,CU,940,2017
AU,CW,133,2017
AU,CY,23149,2017
AU,CZ,15031,2017
AU,KP,243,2017
AU,CD,3860,2017
AU,DK,12188,2017
AU,DJ,177,2017
AU,DM,11,2017
AU,DO,187,2017
AU,EC,2421,2017
AU,EG,47548,2017
AU,SV,12255,2017
AU,ER,4037,2017
AU,EE,3473,2017
AU,ET,12000,2017
AU,FO,22,2017
AU,FK,99,2017
AU,FJ,75575,2017
AU,FI,10806,2017
AU,FR,41001,2017
AU,GF,11,2017
AU,PF,575,2017
AU,GA,11,2017
AU,GM,133,2017
AU,GE,641,2017
AU,DE,141186,2017
AU,GH,5562,2017
AU,GI,552,2017
AU,GR,132680,2017
AU,GD,133,2017
AU,GP,33,2017
AU,GU,110,2017
AU,GT,520,2017
AU,GN,884,2017
AU,GY,697,2017
AU,HT,99,2017
AU,HN,287,2017
AU,HU,24255,2017
AU,IS,807,2017
AU,IN,408880,2017
AU,ID,88095,2017
AU,IR,51054,2017
AU,IQ,65831,2017
AU,IE,105925,2017
AU,IM,364,2017
AU,IL,12763,2017
AU,IT,220235,2017
AU,JM,1349,2017
AU,JP,55733,2017
AU,JO,6591,2017
AU,KZ,1780,2017
AU,KE,18714,2017
AU,KI,685,2017
AU,KW,6403,2017
AU,KG,464,2017
AU,LA,12697,2017
AU,LV,5851,2017
AU,LB,100970,2017
AU,LS,133,2017
AU,LR,3539,2017
AU,LY,3240,2017
AU,LI,11,2017
AU,LT,3583,2017
AU,LU,287,2017
AU,MG,331,2017
AU,MW,1327,2017
AU,MY,164534,2017
AU,MV,564,2017
AU,ML,55,2017
AU,MT,51608,2017
AU,MH,44,2017
AU,MQ,44,2017
AU,MR,44,2017
AU,MU,30172,2017
AU,MX,5176,2017
AU,MC,55,2017
AU,MN,928,2017
AU,ME,2123,2017
AU,MA,2278,2017
AU,MZ,1072,2017
AU,MM,30316,2017
